incident_id,incident_date,org_id,attack_type_id,severity,status,financial_loss_ngn,affected_users,resolution_time_hours,team_id
1994,2021-02-20,21,5,Critical,Resolved,3370035096.92,352056,243,1
2512,2023-01-06,7,3,High,Resolved,127645368.95,18413,161,22
3364,2024-04-02,27,2,Medium,unresolved,23507002.95,1198,,2
1593,2021-10-19,73,3,Low,Resolved,1900021.75,469,15,17
1389,2022-03-07,31,5,medium,RESOLVED,31403313.32,2467,37,2
1659,2024-10-28,22,3,critical,Resolved,6219106614.03,159239,455,20
2448,2024-04-16,99,10,Low,Resolved,1677799.02,258,13,10
2644,2023-03-27,98,7,High,Resolved,,11317,157,9
77,2024-07-09,10,2,Low,Unresolved,4006601.96,207,,13
3518,2023-12-08,84,10,Medium,Under Investigation,16090697.48,1123,,24
4816,2021-04-23,63,6,High,Resolved,422038618.19,40066,-1,12
3250,2021-02-06,46,1,Medium,Resolved,19418669.75,2230,26,13
2868,2023-01-19,64,9,High,RESOLVED,396540693.98,40873,117,18
75,2021-05-25,36,7,Critical,Under Investigation,5945099908.06,468549,,20
4531,2022-01-20,46,3,Critical,Unresolved,10410097124.02,258257,,13
1169,2022-03-23,74,10,Medium,UNDER INVESTIGATION,38710285.45,1339,,9
102,2019-12-19,79,15,LOW,Resolved,4715804.04,85,9,16
3306,2023-10-28,62,5,High,Under Investigation,263039423.84,1404,,12
1725,2024-12-31,1,4,Medium,Resolved,15573696.79,868,60,1
2047,2021-01-09,74,2,High,Resolved,62482881.12,35389,66,24
1125,2019-05-28,1,6,high,UNRESOLVED,179144653.8,40257,,1
582,2022-11-21,85,12,Medium,Resolved,34917209.83,3289,27,17
1092,2024-01-03,59,11,Critical,Resolved,2017598513.68,276561,432,19
4374,2022-06-24,25,6,low,UNDER INVESTIGATION,3904098.42,348,,1
883,2024-04-23,74,1,High,resolved,133083206.83,4574,162,24
3742,2023-03-04,48,12,High,Unresolved,,3273,,13
605,2021-06-26,20,7,Low,Resolved,3580564.35,70,3,1
3156,2023-07-15,98,5,Medium,Unresolved,33860855.34,3987,,9
4025,2022-12-28,28,6,Low,Under Investigation,3426111.85,43,,1
560,2024-11-15,51,13,High,Under Investigation,327918407.52,9403,,19
4029,2024-08-12,13,9,HIGH,Under Investigation,114612723.47,,,20
3486,2022-03-16,62,13,Medium,Resolved,7569603.88,2840,46,12
743,2020-01-25,29,13,Medium,Resolved,33052622.23,4261,27,11
3845,2024-12-22,68,6,Medium,Under Investigation,6873689.26,2164,,3
4991,2022-09-09,94,1,LOW,Resolved,3049807.59,251,20,5
4,2020-09-14,92,3,High,Resolved,,2527,131,23
36,2023-05-19,15,5,MEDIUM,RESOLVED,44433580.89,2091,54,1
936,2024-08-23,57,10,Medium,RESOLVED,35551615.98,3196,40,3
3060,2022-05-23,64,7,Medium,Under Investigation,32111970.61,1911,,12
162,2019-05-08,80,7,Low,Unresolved,,21,,17
1745,2023-10-12,71,5,Medium,Under Investigation,,824,,17
3956,2023-09-04,64,13,Medium,Resolved,30060888.59,3324,25,18
4366,2019-10-20,90,7,MEDIUM,Resolved,39710617.28,2362,56,5
4430,2022-09-28,11,4,high,Unresolved,67871059.21,32458,,1
1048,2020-12-28,86,5,Medium,Resolved,30953191.48,2660,38,5
323,2019-06-20,36,4,Medium,Under Investigation,16477726.59,2972,,21
2649,2019-08-31,22,14,HIGH,Unresolved,479312277.49,42071,,20
658,2024-11-24,32,5,High,Resolved,167843453.58,45185,155,20
1222,2024-01-14,91,1,CRITICAL,Resolved,8283101351.98,227884,244,5
2023,2023-11-03,26,15,High,UNRESOLVED,311697649.6,12152,,21
4696,2022-10-01,31,14,Medium,Resolved,15811121.66,2771,32,21
4556,2023-01-16,56,15,LOW,Under Investigation,984632.39,228,,3
4783,2023-03-03,44,7,Low,RESOLVED,3571183.4,71,23,2
4968,2024-12-14,93,13,Medium,Resolved,35800654.51,307,53,15
2126,2024-08-15,12,14,High,Unresolved,451276469.0,25655,,11
626,2021-01-08,96,2,medium,UNRESOLVED,22127701.16,2830,,8
4110,2023-10-28,39,14,Medium,Under Investigation,15411237.13,4369,,11
1843,2022-05-30,6,8,CRITICAL,Resolved,10193650091.0,14841,97,1
1057,2019-04-30,37,15,Medium,Resolved,26378828.06,2334,23,11
2856,2023-03-04,64,7,High,Under Investigation,360094780.01,,,19
1276,2023-07-04,50,13,Medium,Resolved,22777367.58,4992,38,1
4208,2021-12-02,18,12,Low,Under Investigation,4642105.25,32,,20
2160,2022-06-04,90,14,Medium,Under Investigation,42308487.15,1561,,23
1301,2022-05-23,52,8,Medium,Unresolved,9324072.27,3801,,18
2446,2019-02-06,74,1,High,Resolved,402985956.17,21174,108,17
4377,2024-06-04,72,7,Low,Resolved,1177118.27,153,21,17
956,2024-07-11,46,11,Low,Unresolved,950432.62,412,,25
1678,2019-03-21,53,1,LOW,Resolved,1213915.57,220,23,3
4165,2020-01-18,38,7,Critical,Under Investigation,9693886764.59,361887,,20
1564,2021-06-01,43,11,High,Unresolved,267602333.31,40949,,11
781,2024-04-26,28,12,High,Under Investigation,,23573,,2
4096,2024-07-27,34,11,High,Under Investigation,372406271.65,35250,,20
2278,2023-12-28,60,8,High,Under Investigation,75029321.6,30392,,12
717,2024-04-11,67,5,Medium,Resolved,23213553.87,1853,37,3
4567,2019-02-17,69,2,Medium,Under Investigation,26294840.61,1703,,26
4558,2019-05-31,41,15,Low,resolved,1866842.23,153,16,13
2843,2023-03-27,8,7,Medium,Resolved,22303005.51,2742,60,20
4903,2023-02-13,47,10,High,Unresolved,372646411.02,16625,,25
3918,2022-05-11,70,2,High,Resolved,185716696.58,25225,109,19
1798,2024-08-15,1,1,Medium,Resolved,46429224.91,1875,55,22
2567,2022-02-12,50,12,Low,Resolved,2988280.24,334,20,11
421,2024-06-29,45,2,Medium,Under Investigation,26581414.97,1589,,1
1038,2020-05-27,93,6,High,Unresolved,50120554.17,47747,,23
1456,2023-11-23,82,9,Medium,Resolved,44018173.37,415,55,1
4742,2021-11-23,57,3,Medium,Unresolved,26330125.97,4177,,4
2672,2024-06-08,90,2,Critical,Resolved,10221366505.28,368659,83,6
3232,2024-08-29,13,10,Medium,Under Investigation,42200178.21,4258,,13
2650,2023-04-30,53,6,Medium,Resolved,15343894.94,1489,37,3
3455,2021-06-20,9,9,Medium,Resolved,,2688,-5,22
2749,2021-12-07,36,15,Medium,Resolved,16098097.43,,62,1
3945,2021-07-09,15,11,High,Resolved,362034713.58,23307,71,11
2654,2024-03-17,58,10,High,Resolved,249055874.27,38333,168,4
3874,2024-09-02,46,5,Critical,Resolved,2137676283.48,287629,676,1
400,2019-12-27,11,11,high,Resolved,54638510.2,45337,106,11
721,2021-05-07,44,14,Low,Under Investigation,2152438.85,37,,13
2105,2022-05-05,91,4,Critical,Under Investigation,1382880626.39,208374,,6
4748,2020-11-20,79,1,Low,Resolved,4851656.98,360,4,24
2410,2023-02-02,55,13,Low,Resolved,4498014.33,419,2,3
1270,2024-02-14,74,8,High,Under Investigation,439952053.1,43742,,1
3002,2024-02-26,42,6,Medium,Resolved,5692298.48,4299,66,2
766,2023-04-03,90,10,Low,Resolved,4984129.62,351,22,23
1069,2023-04-06,88,10,High,Under Investigation,452559306.51,22505,,5
4023,2023-09-01,39,13,Low,Under Investigation,4094910.84,445,,21
601,2021-03-31,2,3,Critical,Resolved,10966070051.61,249575,145,22
3192,2024-09-17,74,14,Medium,Unresolved,16841602.41,2945,,16
2436,2024-09-22,9,13,High,Under Investigation,314905954.82,2938,,22
2821,2024-12-01,88,4,High,Unresolved,422457785.58,43879,,15
2314,2022-05-22,13,13,Critical,Under Investigation,10691849686.86,108316,,1
4589,2023-03-12,100,10,Medium,Resolved,42202520.36,3774,63,9
977,2023-03-27,1,15,HIGH,Resolved,436076042.58,38949,143,22
1178,2022-04-05,13,14,high,Resolved,462882116.4,20128,136,22
4526,2021-12-02,12,6,Medium,Resolved,10729717.23,3918,51,11
2483,2022-04-22,24,9,high,unresolved,191298619.75,,,20
4494,2023-10-23,90,13,Low,Resolved,2837500.33,68,14,5
4743,2024-09-04,70,2,Low,Unresolved,2258413.97,148,,18
2582,2022-07-06,53,4,High,Resolved,128330636.05,27035,89,26
3989,2024-06-27,44,3,High,Resolved,192823652.51,31600,44,11
4732,2022-06-16,100,4,Low,Resolved,1523670.43,344,23,8
3806,2022-11-16,99,8,high,unresolved,65260415.07,21544,,8
1149,2020-07-29,1,9,Critical,Resolved,8937670452.88,246265,202,13
1424,2023-10-03,76,11,Medium,Under Investigation,5678834.93,3405,,16
557,2021-09-02,94,1,Low,Resolved,2277359.37,233,14,6
3126,2024-12-01,36,5,Low,Resolved,747834.49,462,12,11
1583,2022-03-27,47,5,Medium,Resolved,20911412.15,3630,55,11
4258,2024-03-23,32,4,Medium,Resolved,36873628.67,185,30,11
807,2023-01-30,88,9,High,Under Investigation,206341481.59,40895,,6
3220,2021-01-27,16,14,Medium,Resolved,30333475.75,4638,65,1
1333,2024-04-19,95,15,Low,Resolved,3429600.59,225,13,5
3359,2020-04-23,71,14,Low,Resolved,2858243.99,288,19,16
3688,2021-01-05,15,9,High,Resolved,229003503.9,20559,148,21
2696,2021-08-04,72,15,Critical,Unresolved,9912370811.29,316358,,24
1879,2024-04-07,78,12,MEDIUM,under investigation,48450838.79,3125,,9
2291,2022-10-24,44,7,High,Resolved,72168014.19,49954,117,2
2065,2020-12-04,46,15,Medium,Under Investigation,6277529.59,1139,,11
321,2023-05-08,14,6,Medium,Resolved,31974422.87,132,29,22
2310,2021-05-28,9,11,High,Resolved,183460773.69,6336,167,21
2311,2022-10-02,29,15,Low,UNDER INVESTIGATION,727862.38,173,,20
4837,2019-10-23,72,15,Medium,Under Investigation,43584524.07,2968,,9
304,2023-11-15,95,7,Low,Resolved,878299.41,132,15,15
3998,2019-08-16,85,1,Medium,Resolved,21745968.92,4738,51,9
4755,2023-04-11,64,13,Critical,Under Investigation,10396791713.79,421815,,3
4714,2022-06-02,41,3,Low,Resolved,4236779.24,141,3,13
4541,2019-01-16,7,15,Low,Resolved,1763720.82,346,7,22
1134,2019-10-04,59,10,Medium,Unresolved,38724689.32,3468,,4
2273,2024-06-17,36,15,High,Resolved,472851356.68,47685,131,20
761,2023-05-08,34,12,Medium,Resolved,6837289.83,3659,69,11
2726,2024-11-16,37,13,Low,Under Investigation,,243,,2
3074,2020-08-16,92,5,High,Unresolved,339224154.53,15801,,23
833,2022-12-24,34,2,High,Resolved,55734814.99,6183,98,20
3577,2021-06-19,46,1,High,Unresolved,388751973.01,25994,,11
2820,2022-08-22,68,1,Low,Resolved,4185202.55,187,17,26
4645,2024-08-27,8,9,Low,Resolved,3676282.78,492,7,20
161,2021-05-31,86,8,High,Under Investigation,378744413.23,20228,,6
1209,2023-07-13,7,11,Medium,Under Investigation,18603099.5,2320,,13
3296,2020-06-25,17,4,Critical,Resolved,5812664624.97,14488,452,13
689,2023-02-13,46,9,Medium,Under Investigation,21701493.6,3431,,1
3458,2023-07-09,14,7,Medium,Resolved,,3499,58,20
4386,2020-05-20,26,3,High,Under Investigation,357995251.42,47139,,20
119,2023-12-03,6,1,Critical,RESOLVED,4531881602.83,86186,175,2
164,2022-01-21,43,7,Medium,Unresolved,7725699.71,2429,,25
3347,2019-06-22,9,8,High,RESOLVED,304649265.58,7345,60,20
3229,2020-04-11,35,7,HIGH,Unresolved,272983745.67,33500,,2
575,2023-11-06,34,7,High,Under Investigation,130400214.78,3518,,11
1293,2023-07-23,75,12,High,Under Investigation,130044943.3,38629,,1
1840,2019-04-26,60,9,High,UNRESOLVED,346693604.46,1204,,12
4619,2024-02-27,24,14,Medium,Resolved,16509473.8,1488,40,21
1003,2024-05-22,79,14,Medium,Resolved,10737810.59,1849,16,9
4393,2024-06-26,70,3,Low,Resolved,766901.16,285,12,19
625,2022-12-08,42,2,Medium,UNRESOLVED,22482691.73,2080,,2
3751,2023-10-18,75,13,Critical,Resolved,1892124167.04,89555,230,9
3280,2023-04-01,90,13,Low,Resolved,3196893.57,323,3,5
163,2019-02-23,26,7,High,Resolved,78568048.78,41304,93,11
882,2022-09-22,82,7,Medium,Resolved,29679590.34,,43,1
3898,2024-03-18,6,8,medium,resolved,14135310.14,4933,15,13
953,2024-09-24,39,15,Low,Under Investigation,4098754.66,426,,1
3237,2022-12-02,49,8,High,resolved,297742011.76,46000,167,25
3879,2021-03-21,62,9,Low,Resolved,1633028.69,323,14,12
720,2022-01-11,81,12,High,Under Investigation,236774915.38,29799,,24
4094,2024-03-30,66,9,HIGH,RESOLVED,212171830.13,26989,152,26
2994,2022-10-10,33,7,Medium,Resolved,9251065.99,1545,19,11
1903,2019-12-07,14,11,MEDIUM,Resolved,19112630.11,2220,17,20
212,2021-11-18,53,12,Medium,Resolved,23170688.75,888,41,12
2524,2021-12-05,58,10,high,Under Investigation,463871668.92,39076,,12
1768,2019-12-01,46,10,MEDIUM,RESOLVED,45101613.82,2493,12,1
4689,2024-12-14,48,8,Low,Resolved,2758349.79,363,14,13
3970,2022-06-08,26,13,Critical,Resolved,783689837.89,75102,110,1
757,2020-09-30,37,11,Medium,Resolved,8638165.06,,48,1
2991,2019-08-16,76,5,High,Unresolved,335847638.24,45270,,1
4596,2020-05-17,92,11,low,RESOLVED,,358,24,6
1334,2021-09-10,7,10,Medium,Under Investigation,42949553.99,3653,,2
4532,2023-05-06,7,8,High,Resolved,465607530.04,11092,57,2
3834,2024-03-04,7,11,medium,unresolved,28840979.38,1023,,22
4833,2022-07-14,2,14,High,Resolved,486236101.92,49090,91,1
2710,2020-07-16,26,4,Critical,Resolved,874851128.76,287928,690,2
1050,2022-01-08,75,11,Medium,Resolved,43690256.55,2430,23,24
3646,2024-01-03,96,9,Medium,Unresolved,18180002.23,3978,,9
1557,2023-07-05,78,12,low,Under Investigation,4162524.39,136,,24
4749,2023-07-15,84,7,High,resolved,104654105.43,6339,88,9
4451,2023-06-07,2,8,High,Resolved,402564424.26,11294,24,1
2087,2022-07-30,100,12,High,Resolved,428931815.77,24622,96,9
648,2024-01-05,44,1,High,UNDER INVESTIGATION,102172708.59,35819,,13
4067,2024-12-14,69,8,Medium,Resolved,20228581.54,3258,46,3
4880,2024-10-09,22,2,Medium,Under Investigation,,2805,,11
1268,2023-03-18,7,2,critical,UNRESOLVED,6642794428.15,465251,,20
2124,2024-08-26,85,13,Medium,Under Investigation,18387179.62,2387,,1
2026,2020-05-26,28,8,Medium,Resolved,41216352.66,3394,-5,21
318,2022-07-06,61,6,High,Under Investigation,59315563.37,16789,,12
3926,2021-03-06,26,14,Low,Resolved,3804005.36,74,2,1
847,2019-12-07,85,15,Critical,Resolved,9701585057.94,,122,16
666,2023-12-29,83,4,low,resolved,1833463.25,121,8,16
4725,2024-06-16,82,15,Low,Unresolved,,278,,9
4181,2023-02-06,100,7,High,Under Investigation,126134659.93,29507,,8
4856,2019-01-07,31,7,Low,Resolved,4420144.35,60,12,11
3635,2022-11-06,18,7,Medium,RESOLVED,,1199,32,21
409,2024-03-21,22,14,Medium,UNRESOLVED,38091661.37,4703,,1
3697,2023-10-20,46,15,low,Resolved,2781682.32,100,20,25
1060,2021-02-19,99,2,Medium,Resolved,39370028.82,2638,67,9
4042,2019-02-05,63,1,Medium,Resolved,32730681.94,440,38,4
563,2024-02-02,48,9,Low,Resolved,789782.58,265,2,2
1567,2023-06-05,98,9,low,under investigation,4524820.32,288,,8
194,2022-05-01,56,7,Medium,Resolved,11951362.99,104,61,18
4064,2019-08-29,86,8,Low,resolved,1264430.62,230,11,5
2819,2022-03-11,23,4,Medium,Under Investigation,35550468.33,588,,2
1037,2022-09-05,82,6,Medium,RESOLVED,29698461.11,3669,44,9
4013,2021-08-29,96,9,High,Resolved,328168072.13,26018,29,9
4690,2024-03-13,5,7,low,resolved,4195455.85,248,6,21
3597,2021-07-17,34,2,Low,Resolved,3483478.25,442,9,11
1296,2020-07-07,66,5,Medium,Under Investigation,,2143,,26
4296,2022-12-23,89,10,Critical,Resolved,8226317117.77,126293,537,15
1724,2022-09-10,4,6,Medium,Under Investigation,12822692.29,4931,,20
827,2023-03-24,53,3,high,resolved,140571410.61,26180,119,3
4695,2019-11-21,85,2,low,resolved,3157409.66,69,0,16
4106,2024-07-25,21,14,Critical,Resolved,5410288036.39,67387,415,2
2359,2020-06-15,99,14,Critical,Resolved,2016516418.98,151966,99,7
4940,2022-01-26,4,15,High,Resolved,153820917.81,2537,29,2
3986,2022-08-26,45,8,High,Resolved,51885276.63,12468,114,13
3528,2024-08-24,49,11,High,Under Investigation,100961617.76,15402,,13
3828,2023-09-21,88,1,Critical,Unresolved,7486951117.87,141496,,23
1361,2024-01-01,8,5,High,Under Investigation,449327514.11,40337,,11
3943,2023-12-18,72,15,High,under investigation,390758164.1,44968,,1
2396,2022-12-04,27,3,High,Resolved,224460479.78,27812,124,2
2336,2023-07-29,6,12,Medium,Unresolved,46966711.5,1703,,1
2457,2023-09-04,72,9,Medium,Resolved,40827075.21,1339,31,17
1077,2024-09-22,61,11,Medium,Unresolved,49906677.39,1525,,18
3092,2019-01-27,2,14,High,Under Investigation,229313548.19,15296,,13
4782,2023-06-19,5,12,High,under investigation,461422861.03,19826,,22
3939,2022-02-05,66,11,MEDIUM,Unresolved,42570873.15,2274,,3
2373,2021-06-25,16,12,Medium,Resolved,,513,68,21
1619,2022-02-18,20,11,Medium,Resolved,44856779.17,394,32,22
2656,2022-04-12,20,6,Medium,Resolved,43473162.14,1867,63,13
1347,2020-01-03,95,5,Medium,Resolved,42344486.79,2404,70,15
1727,2022-07-09,35,11,Critical,Unresolved,3548828735.67,233016,,2
2370,2024-02-06,23,3,Critical,Under Investigation,3659176257.74,278603,,2
1746,2024-12-11,25,5,Medium,Resolved,39520615.04,,46,1
1189,2024-11-18,12,9,Critical,Resolved,9753188905.94,424722,709,2
289,2020-02-28,91,3,Low,Resolved,3874544.38,240,7,15
367,2023-07-27,59,2,Medium,Resolved,15432919.73,4061,15,12
2653,2020-09-26,23,5,High,Resolved,229434626.5,4068,59,2
3362,2024-04-12,19,3,Critical,Resolved,4709110603.75,434768,0,22
2720,2024-01-12,28,11,High,Resolved,188209383.88,23928,144,1
724,2024-01-27,80,13,Medium,Under Investigation,15602144.91,3694,,1
1504,2024-09-19,70,4,High,Unresolved,129879473.56,9016,,3
3484,2022-04-19,81,1,High,Unresolved,270033576.51,31430,,9
975,2022-12-22,28,13,Low,Resolved,2219967.34,151,9,1
2153,2020-07-30,42,6,High,Resolved,445603766.32,34316,124,2
3698,2022-04-07,60,12,Medium,Under Investigation,,2029,,19
4828,2019-09-16,61,5,Critical,Resolved,1728432201.08,411696,217,18
2187,2019-07-20,12,7,High,Resolved,239758278.75,21026,0,20
973,2023-02-11,44,7,High,Under Investigation,232542189.8,13076,,25
128,2022-04-16,27,12,HIGH,Resolved,162624231.23,15172,70,2
2530,2022-11-15,96,11,High,Unresolved,385305615.39,24320,,7
1098,2020-12-29,45,11,High,Resolved,299718732.36,,58,25
4130,2020-08-23,88,5,High,Under Investigation,412127255.22,,,23
4571,2021-01-11,8,6,High,Under Investigation,77063918.39,,,2
2469,2024-09-02,27,12,Low,UNDER INVESTIGATION,4048059.13,34,,11
2883,2021-01-26,96,5,Medium,Resolved,47668479.76,4926,20,9
4633,2021-04-24,84,2,Medium,Unresolved,34165090.25,1461,,16
1674,2023-11-25,26,15,medium,resolved,34141158.62,2053,62,1
1476,2022-10-07,6,1,Medium,Unresolved,16364827.83,588,,22
2364,2020-11-02,83,12,Medium,Unresolved,18595665.34,2015,,9
3693,2022-11-14,43,11,HIGH,Under Investigation,146588292.04,31059,,1
1705,2021-12-11,65,13,High,Resolved,235698874.06,6835,159,26
3231,2024-09-15,18,10,Critical,Unresolved,6250955350.81,73789,,20
1985,2024-10-04,58,8,Medium,Unresolved,21835088.74,2173,,18
47,2023-08-06,87,15,Low,Resolved,3732608.28,319,7,15
2418,2019-11-20,60,9,Critical,Unresolved,638751129.23,65583,,4
2375,2023-08-02,35,11,High,Under Investigation,386939173.42,17356,,20
3623,2021-09-08,12,6,Medium,Resolved,15656364.83,1025,37,1
1064,2020-02-02,26,12,Medium,UNRESOLVED,23714679.67,2315,,2
43,2020-09-14,82,3,Medium,Resolved,15347908.27,4327,47,9
4686,2024-01-04,42,14,High,Resolved,436932533.36,42273,124,13
306,2024-10-12,17,9,Critical,Unresolved,6437858430.61,142162,,21
1712,2021-03-19,44,1,Medium,Resolved,5093622.3,2859,36,1
3957,2022-05-29,3,13,Medium,Under Investigation,26808419.89,1399,,20
1123,2022-06-26,29,1,Medium,Resolved,43784897.92,505,25,2
2309,2023-12-13,40,10,LOW,Under Investigation,,144,,21
1032,2022-06-30,30,7,High,Resolved,326753025.45,12717,56,1
2128,2020-03-11,46,2,Medium,Under Investigation,13684974.66,468,,13
905,2023-07-19,17,15,High,Under Investigation,320786246.85,22618,,13
3964,2021-12-08,5,4,High,Unresolved,437323085.68,10218,,13
3377,2024-09-23,72,7,Critical,Unresolved,1151914401.48,219155,,24
4057,2023-11-05,15,14,Medium,Resolved,18088543.32,4384,25,2
3283,2024-11-06,94,8,MEDIUM,UNDER INVESTIGATION,11881816.91,1976,,15
3015,2024-01-23,100,8,Low,Resolved,4619743.31,191,4,9
4455,2024-06-24,12,10,MEDIUM,Unresolved,,4692,,1
4884,2019-07-25,6,14,High,Resolved,455447529.68,15562,0,2
3082,2021-11-15,71,5,MEDIUM,Resolved,23819866.1,385,48,17
1814,2022-09-22,23,12,high,Resolved,341532464.98,42433,168,20
4411,2024-06-10,25,2,low,Resolved,798676.62,410,11,21
4254,2023-02-15,41,12,high,resolved,380116742.4,26700,75,1
2910,2024-04-26,24,5,High,under investigation,154447854.79,16969,,11
924,2022-03-14,50,5,Low,Under Investigation,4895171.38,318,,2
2742,2020-02-13,29,9,Medium,under investigation,,3599,,2
3251,2024-07-26,12,13,Medium,Under Investigation,10816392.89,3004,,11
4592,2022-10-21,1,8,Low,Under Investigation,2170084.8,447,,21
108,2023-01-02,92,7,Critical,Resolved,3906114263.95,244619,427,6
1796,2021-04-19,47,13,High,Unresolved,78873038.43,33996,,1
3022,2019-10-29,17,13,Low,Resolved,4210857.22,222,16,21
207,2024-02-02,92,6,Medium,Under Investigation,40650013.71,3001,,5
4069,2023-01-10,90,14,Critical,Resolved,10908696564.19,,659,15
3254,2021-04-03,48,4,High,UNDER INVESTIGATION,383417286.08,12220,,25
4796,2020-09-24,47,9,Medium,Resolved,5352178.53,3834,62,1
4167,2022-10-19,51,11,High,Resolved,305770208.38,30107,61,12
3704,2023-04-12,58,6,Low,Resolved,762304.23,472,5,26
3891,2022-03-30,13,15,High,Unresolved,382095054.44,9605,,11
4095,2024-06-19,64,1,High,Under Investigation,149364352.19,38660,,12
1017,2022-07-15,66,4,High,Resolved,414723166.69,4797,79,4
911,2021-08-05,28,12,Critical,Resolved,3371272132.6,405038,445,20
381,2023-04-19,25,1,Critical,Resolved,6890578965.04,295645,287,2
180,2022-04-07,89,3,Critical,Under Investigation,1382565267.72,435478,,6
3988,2023-11-20,36,9,Medium,Unresolved,24243095.9,4354,,11
4797,2023-08-09,29,14,High,Under Investigation,267378679.69,13323,,21
327,2019-05-07,13,10,MEDIUM,UNRESOLVED,8948922.74,1633,,11
1422,2023-06-01,54,6,Medium,Under Investigation,31619989.01,2540,,18
2494,2024-05-31,62,5,High,Resolved,386223407.74,36266,54,12
3705,2024-10-20,45,7,Critical,Resolved,,151626,450,1
4790,2022-04-01,75,4,Low,Unresolved,1783222.97,198,,9
3658,2019-04-21,26,15,Medium,Resolved,46707962.34,3754,55,21
2880,2020-01-18,59,4,Medium,unresolved,45374682.37,3480,,12
1067,2021-08-21,19,14,Medium,Resolved,39138041.58,154,62,2
1304,2023-11-23,5,8,Low,Resolved,1715372.86,14,17,20
489,2024-07-19,87,7,critical,RESOLVED,,73168,220,15
4682,2024-01-26,6,1,Medium,Resolved,31800951.13,4332,48,11
1759,2023-08-29,20,3,Medium,Unresolved,16854794.06,3138,,21
866,2022-02-16,98,9,High,Resolved,456335135.1,,37,10
2829,2021-01-22,47,4,High,Under Investigation,349114334.59,,,11
3333,2020-12-21,88,8,High,Resolved,196385358.93,45548,31,6
